task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
20	19/ed3ad6	4025564	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290003_bound_condition15)	COMPLETED	0	2023-11-22 10:33:03.538	8.5s	6.8s	325.9%	318.8 MB	5.4 GB	126.7 MB	5.3 KB
17	5b/d2199f	4025538	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290002_bound_condition8)	COMPLETED	0	2023-11-22 10:33:03.528	8.6s	7s	284.3%	318.9 MB	5.4 GB	126.7 MB	5.3 KB
12	89/4563a0	4025588	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290001_unbound)	COMPLETED	0	2023-11-22 10:33:03.546	9.1s	7.2s	356.3%	317.1 MB	5.4 GB	126.7 MB	5.3 KB
27	61/5b045e	4025458	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204200003)	COMPLETED	0	2023-11-22 10:33:03.500	9.3s	6.7s	348.2%	212.1 MB	5.4 GB	115.1 MB	56.7 KB
13	4c/20e3bc	4025602	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290001_bound_condition1)	COMPLETED	0	2023-11-22 10:33:03.551	9.3s	7s	258.2%	319 MB	5.4 GB	126.7 MB	5.3 KB
18	b9/95fa63	4025767	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290003_unbound)	COMPLETED	0	2023-11-22 10:33:03.588	9.4s	7.1s	307.3%	316.5 MB	5.4 GB	126.7 MB	5.3 KB
48	9d/d7412c	4025488	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190008)	COMPLETED	0	2023-11-22 10:33:03.510	10.3s	7.7s	218.5%	212.5 MB	5.4 GB	117.2 MB	104.8 KB
47	8a/774bd1	4025444	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190007)	COMPLETED	0	2023-11-22 10:33:03.492	10.5s	7.8s	215.6%	213.7 MB	5.4 GB	116.9 MB	107.7 KB
15	73/599ecf	4025730	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2211290002_unbound)	COMPLETED	0	2023-11-22 10:33:03.579	10.5s	6.8s	292.0%	317.2 MB	5.4 GB	126.7 MB	5.3 KB
43	20/5b6374	4025522	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190002)	COMPLETED	0	2023-11-22 10:33:03.521	10.7s	7.9s	186.5%	212.2 MB	5.4 GB	117.1 MB	105.1 KB
1	af/f1b8b6	4025621	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2201310001)	COMPLETED	0	2023-11-22 10:33:03.556	10.7s	7s	266.7%	353.1 MB	5.4 GB	126.7 MB	6.2 KB
11	4e/67c445	4025642	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204300002)	COMPLETED	0	2023-11-22 10:33:03.561	10.9s	8.1s	282.8%	380.9 MB	5.4 GB	126.7 MB	133.3 KB
7	e4/719974	4025427	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL1909260004)	COMPLETED	0	2023-11-22 10:33:03.480	12.1s	10.3s	245.9%	215.4 MB	5.4 GB	121.9 MB	345.2 KB
6	9a/bbbfaf	4025668	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204190004)	COMPLETED	0	2023-11-22 10:33:03.565	12.2s	8.6s	330.4%	420.7 MB	5.5 GB	126.8 MB	11.9 KB
9	38/edebbd	4025704	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204190005)	COMPLETED	0	2023-11-22 10:33:03.572	14.4s	11.5s	230.1%	468.6 MB	5.5 GB	126.8 MB	78.5 KB
3	d1/0e92fa	4025822	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204190003)	COMPLETED	0	2023-11-22 10:33:03.596	14.8s	11.3s	204.1%	468.7 MB	5.5 GB	126.8 MB	78.5 KB
42	e8/4c27c7	4037954	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2210190001)	COMPLETED	0	2023-11-22 10:33:12.821	9.8s	7.3s	244.3%	211.7 MB	5.4 GB	117.1 MB	102.2 KB
54	71/4e0886	4037988	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204200003)	COMPLETED	0	2023-11-22 10:33:12.834	9.8s	6.8s	343.8%	307.4 MB	5.3 GB	126.6 MB	32.3 KB
58	5e/f25b7f	4039441	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2210190007)	COMPLETED	0	2023-11-22 10:33:13.988	10.5s	7.4s	398.0%	339.8 MB	5.4 GB	126.6 MB	41.5 KB
57	c3/ea7e85	4039433	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2210190008)	COMPLETED	0	2023-11-22 10:33:13.983	11.7s	7.3s	280.1%	335.2 MB	5.4 GB	126.6 MB	38.8 KB
60	9d/e20db8	4039682	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2210190002)	COMPLETED	0	2023-11-22 10:33:14.191	11.7s	7.5s	297.1%	340.1 MB	5.4 GB	126.6 MB	40 KB
8	5e/f6e8cb	4039319	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL1909260005)	COMPLETED	0	2023-11-22 10:33:13.814	14.4s	11.3s	110.3%	227.2 MB	5.4 GB	124.2 MB	425.4 KB
29	d0/e16871	4041541	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204270001)	COMPLETED	0	2023-11-22 10:33:15.635	12.7s	8.7s	214.0%	219.3 MB	5.4 GB	119.3 MB	241.4 KB
28	08/a0fbf1	4039672	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204260001)	COMPLETED	0	2023-11-22 10:33:14.183	14.4s	9.9s	214.5%	223.3 MB	5.4 GB	121.5 MB	421.1 KB
23	d1/93e229	4039421	OPENCOBRA_JEWELER:JEWELER:FETCH_SBML (MODEL2204180001)	COMPLETED	0	2023-11-22 10:33:13.978	16.2s	12.6s	122.6%	240.2 MB	5.4 GB	126.3 MB	623.3 KB
