id,name,model
MODEL8568434338,,
MODEL1011300000,,
MODEL1909260003,,
MODEL1909260004,,
MODEL1909260005,,
MODEL1909260006,,
MODEL2201310001,,models/iANEO_SB607.sbml
MODEL2203250001,,
MODEL2204040001,,
MODEL2204040002,,
MODEL2204110002,,
MODEL2204150001,,
MODEL2204180001,,
MODEL2204190001,,
MODEL2204190002,,
MODEL2204190003,,
MODEL2204190004,,models/iIsor850.xml
MODEL2204190005,,
MODEL2204200002,,
MODEL2204200003,,
MODEL2204260001,,
MODEL2204270001,,
MODEL2204280001,,
MODEL2204280003,,
MODEL2204300001,,
MODEL2204300002,,
MODEL2205020001,,
MODEL2205020002,,
MODEL2205040001,,
MODEL2205040002,,
MODEL2205040003,,
MODEL2205040004,,
MODEL2205040005,,
MODEL2205060002,,
MODEL2205110002,,
MODEL2210190001,,
MODEL2210190002,,
MODEL2210190003,,
MODEL2210190004,,
MODEL2210190006,,
MODEL2210190007,,
MODEL2210190008,,
MODEL2210190009,,
MODEL2210190012,,
MODEL2211290001_unbound,,models/iMTD22IC_unbound.xml
MODEL2211290001_bound_condition1,,models/iMTD22IC_bound_Condition1.xml
MODEL2211290002_unbound,,models/iMTZ22IC_unbound.xml
MODEL2211290002_bound_condition8,,models/iMTZ22IC_bound_Condition8.xml
MODEL2211290003_unbound,,models/iMMM22IC_unbound.xml
MODEL2211290003_bound_condition15,,models/iMMM22IC_bound_Condition15.xml
